Run,Iterations,Mana,Magecraft
1,1,0,1
2,100,168,193
3,1,0,1
4,100,173,194
5,2,2,3
6,100,218,203
7,1,0,1
8,100,223,204
9,100,223,204
10,1,0,1
11,2,2,3
12,100,228,205
13,100,223,204
14,7,2,11
15,1,0,1
16,100,188,197
17,1,0,1
18,2,2,3
19,1,0,1
20,11,0,17
21,100,163,192
22,4,1,6
23,1,0,1
24,1,0,1
25,100,203,200
26,1,0,1
27,1,0,1
28,100,253,210
29,100,208,201
30,1,0,1
31,1,0,1
32,100,173,194
33,100,163,192
34,100,223,204
35,1,0,1
36,1,0,1
37,100,238,207
38,100,228,205
39,100,268,213
40,100,198,199
41,2,2,3
42,2,2,3
43,100,233,206
44,100,163,192
45,100,128,185
46,100,253,210
47,100,158,191
48,100,193,198
49,1,0,1
50,100,183,196
51,100,173,194
52,2,2,3
53,100,128,185
54,12,2,19
55,1,0,1
56,2,2,3
57,2,2,3
58,1,0,1
59,100,238,207
60,100,233,206
61,100,238,207
62,100,208,201
63,100,203,200
64,100,238,207
65,100,248,209
66,1,0,1
67,2,2,3
68,2,2,3
69,1,0,1
70,100,173,194
71,100,263,212
72,100,188,197
73,100,268,213
74,100,193,198
75,4,1,6
76,100,193,198
77,100,183,196
78,100,218,203
79,100,208,201
80,2,2,3
81,1,0,1
82,7,2,11
83,2,2,3
84,100,163,192
85,100,223,204
86,100,248,209
87,100,228,205
88,100,213,202
89,100,273,214
90,100,218,203
91,100,248,209
92,100,193,198
93,100,278,215
94,1,0,1
95,2,2,3
96,100,158,191
97,100,168,193
98,2,2,3
99,100,198,199
100,1,0,1
101,100,183,196
102,100,178,195
103,100,253,210
104,100,158,191
105,100,203,200
106,100,288,217
107,1,0,1
108,1,0,1
109,1,0,1
110,2,2,3
111,100,188,197
112,100,113,182
113,100,153,190
114,100,263,212
115,100,168,193
116,2,2,3
117,100,213,202
118,1,0,1
119,4,1,6
120,2,2,3
121,100,173,194
122,1,0,1
123,2,2,3
124,1,0,1
125,100,228,205
126,2,2,3
127,100,203,200
128,100,243,208
129,100,223,204
130,100,253,210
131,100,208,201
132,100,173,194
133,100,218,203
134,2,2,3
135,100,198,199
136,1,0,1
137,2,2,3
138,2,2,3
139,100,218,203
140,1,0,1
141,100,183,196
142,100,213,202
143,1,0,1
144,100,208,201
145,100,213,202
146,100,168,193
147,2,2,3
148,100,213,202
149,1,0,1
150,100,223,204
151,100,203,200
152,1,0,1
153,100,203,200
154,1,0,1
155,100,228,205
156,100,148,189
157,100,153,190
158,100,203,200
159,100,268,213
160,1,0,1
161,100,238,207
162,100,233,206
163,100,198,199
164,100,193,198
165,1,0,1
166,100,238,207
167,100,243,208
168,2,2,3
169,100,233,206
170,1,0,1
171,2,2,3
172,100,208,201
173,100,228,205
174,100,138,187
175,1,0,1
176,1,0,1
177,100,238,207
178,100,203,200
179,2,2,3
180,100,248,209
181,100,208,201
182,1,0,1
183,100,213,202
184,100,188,197
185,1,0,1
186,2,2,3
187,100,208,201
188,100,263,212
189,100,168,193
190,1,0,1
191,1,0,1
192,1,0,1
193,2,2,3
194,100,198,199
195,1,0,1
196,2,2,3
197,100,278,215
198,1,0,1
199,100,203,200
200,100,193,198
201,100,193,198
202,1,0,1
203,100,243,208
204,100,223,204
205,1,0,1
206,100,213,202
207,100,243,208
208,1,0,1
209,16,0,25
210,1,0,1
211,2,2,3
212,100,153,190
213,100,258,211
214,2,2,3
215,100,193,198
216,2,2,3
217,100,198,199
218,100,228,205
219,1,0,1
220,1,0,1
221,1,0,1
222,2,2,3
223,100,258,211
224,100,138,187
225,1,0,1
226,1,0,1
227,100,178,195
228,2,2,3
229,100,203,200
230,100,203,200
231,100,188,197
232,100,228,205
233,2,2,3
234,100,218,203
235,100,238,207
236,100,258,211
237,100,203,200
238,1,0,1
239,2,2,3
240,100,233,206
241,1,0,1
242,100,178,195
243,2,2,3
244,1,0,1
245,100,203,200
246,100,248,209
247,100,203,200
248,1,0,1
249,2,2,3
250,1,0,1
251,100,238,207
252,100,183,196
253,100,228,205
254,2,2,3
255,100,233,206
256,100,143,188
257,100,243,208
258,100,228,205
259,100,223,204
260,1,0,1
261,100,208,201
262,2,2,3
263,100,133,186
264,4,1,6
265,100,193,198
266,4,1,6
267,100,193,198
268,1,0,1
269,100,243,208
270,100,248,209
271,2,2,3
272,100,223,204
273,100,193,198
274,100,243,208
275,1,0,1
276,1,0,1
277,1,0,1
278,100,198,199
279,1,0,1
280,100,233,206
281,1,0,1
282,100,178,195
283,100,198,199
284,100,218,203
285,1,0,1
286,100,258,211
287,100,233,206
288,1,0,1
289,2,2,3
290,100,208,201
291,2,2,3
292,7,2,11
293,100,248,209
294,100,158,191
295,100,253,210
296,100,173,194
297,2,2,3
298,100,223,204
299,100,253,210
300,100,243,208
301,100,213,202
302,2,2,3
303,1,0,1
304,100,163,192
305,100,238,207
306,100,183,196
307,100,238,207
308,2,2,3
309,1,0,1
310,100,223,204
311,1,0,1
312,100,188,197
313,100,188,197
314,100,218,203
315,100,208,201
316,2,2,3
317,2,2,3
318,100,178,195
319,100,228,205
320,100,188,197
321,2,2,3
322,1,0,1
323,1,0,1
324,1,0,1
325,1,0,1
326,100,153,190
327,2,2,3
328,100,158,191
329,1,0,1
330,100,253,210
331,1,0,1
332,100,168,193
333,100,193,198
334,100,138,187
335,2,2,3
336,100,213,202
337,1,0,1
338,100,183,196
339,100,198,199
340,100,258,211
341,4,1,6
342,100,203,200
343,100,223,204
344,100,223,204
345,100,238,207
346,100,133,186
347,1,0,1
348,100,218,203
349,100,218,203
350,100,193,198
351,1,0,1
352,100,248,209
353,1,0,1
354,100,178,195
355,1,0,1
356,100,228,205
357,1,0,1
358,4,1,6
359,2,2,3
360,1,0,1
361,2,2,3
362,100,188,197
363,100,258,211
364,100,258,211
365,2,2,3
366,100,173,194
367,100,243,208
368,100,228,205
369,1,0,1
370,100,133,186
371,100,173,194
372,1,0,1
373,1,0,1
374,100,218,203
375,100,183,196
376,1,0,1
377,1,0,1
378,100,228,205
379,100,198,199
380,100,208,201
381,100,193,198
382,100,168,193
383,2,2,3
384,100,173,194
385,100,173,194
386,100,293,218
387,100,218,203
388,100,233,206
389,100,198,199
390,100,223,204
391,100,238,207
392,100,233,206
393,100,193,198
394,100,178,195
395,7,2,11
396,1,0,1
397,1,0,1
398,100,208,201
399,100,213,202
400,1,0,1
401,100,218,203
402,4,1,6
403,1,0,1
404,1,0,1
405,100,163,192
406,2,2,3
407,100,178,195
408,100,268,213
409,1,0,1
410,100,193,198
411,100,158,191
412,100,173,194
413,100,228,205
414,100,248,209
415,100,208,201
416,1,0,1
417,100,248,209
418,100,223,204
419,100,203,200
420,100,218,203
421,100,223,204
422,100,168,193
423,100,238,207
424,1,0,1
425,1,0,1
426,1,0,1
427,4,1,6
428,100,203,200
429,100,253,210
430,2,2,3
431,100,198,199
432,100,178,195
433,100,243,208
434,1,0,1
435,2,2,3
436,1,0,1
437,1,0,1
438,2,2,3
439,100,183,196
440,100,208,201
441,100,223,204
442,100,213,202
443,100,243,208
444,1,0,1
445,4,1,6
446,1,0,1
447,1,0,1
448,100,208,201
449,100,213,202
450,100,233,206
451,100,178,195
452,2,2,3
453,1,0,1
